hazard_observation_id,record_id,facility_name,latitude,longitude,hazard_type,metric_type,raw_value,raw_class,unit_or_scale,source_name,source_url,source_authority,dataset_year,geometry_or_raster_type,extraction_method,point_in_polygon_status,retrieved_at,verification_method,verification_status,why_null,notes,source_url_role,request_created_at
HAZ-011,EDU-006,SD NEGERI 07 BATU AMPAR,-0.7516,109.5388,karhutla,hazard,,,,InaRISK / BNPB,https://gis.bnpb.go.id/server/rest/services/inarisk/INDEKS_BAHAYA_KARHUTLA/ImageServer,A,,,,pending,,,requires_external_acquisition,"Nilai/kelas belum diperoleh; external extraction required, paket eksternal belum tersedia. Metadata service terbaca, tetapi identify ditolak web tool (non-retryable); tahun data belum tersedia. REQ-HAZ-01.","metric_type=hazard adalah target permintaan, bukan bukti nilai sudah diperoleh. Prioritaskan bahaya; risk hanya fallback terdokumentasi pada observasi terpisah. Kelas disimpan apa adanya; bukan IRBI/hotspot harian.",requested_layer,2026-09-14
HAZ-012,EDU-006,SD NEGERI 07 BATU AMPAR,-0.7516,109.5388,kekeringan,hazard,,,,InaRISK / BNPB,https://gis.bnpb.go.id/server/rest/services/inarisk/INDEKS_BAHAYA_KEKERINGAN/ImageServer,A,,,,pending,,,requires_external_acquisition,"Nilai/kelas belum diperoleh; external extraction required, paket eksternal belum tersedia. Metadata service terbaca, tetapi identify ditolak web tool (non-retryable); tahun data belum tersedia. REQ-HAZ-01.","metric_type=hazard adalah target permintaan, bukan bukti nilai sudah diperoleh. Prioritaskan bahaya; risk hanya fallback terdokumentasi pada observasi terpisah. Kelas disimpan apa adanya; bukan IRBI/hotspot harian.",requested_layer,2026-09-14
HAZ-013,EDU-007,SMKN 1 BATU AMPAR,-0.7849,109.4548,karhutla,hazard,,,,InaRISK / BNPB,https://gis.bnpb.go.id/server/rest/services/inarisk/INDEKS_BAHAYA_KARHUTLA/ImageServer,A,,,,pending,,,requires_external_acquisition,"Nilai/kelas belum diperoleh; external extraction required, paket eksternal belum tersedia. Metadata service terbaca, tetapi identify ditolak web tool (non-retryable); tahun data belum tersedia. REQ-HAZ-01.","metric_type=hazard adalah target permintaan, bukan bukti nilai sudah diperoleh. Prioritaskan bahaya; risk hanya fallback terdokumentasi pada observasi terpisah. Kelas disimpan apa adanya; bukan IRBI/hotspot harian.",requested_layer,2026-09-14
HAZ-014,EDU-007,SMKN 1 BATU AMPAR,-0.7849,109.4548,kekeringan,hazard,,,,InaRISK / BNPB,https://gis.bnpb.go.id/server/rest/services/inarisk/INDEKS_BAHAYA_KEKERINGAN/ImageServer,A,,,,pending,,,requires_external_acquisition,"Nilai/kelas belum diperoleh; external extraction required, paket eksternal belum tersedia. Metadata service terbaca, tetapi identify ditolak web tool (non-retryable); tahun data belum tersedia. REQ-HAZ-01.","metric_type=hazard adalah target permintaan, bukan bukti nilai sudah diperoleh. Prioritaskan bahaya; risk hanya fallback terdokumentasi pada observasi terpisah. Kelas disimpan apa adanya; bukan IRBI/hotspot harian.",requested_layer,2026-09-14
HAZ-015,HLT-001,PUSKESMAS PADANG TIKAR,-0.68395,109.27088,karhutla,hazard,,,,InaRISK / BNPB,https://gis.bnpb.go.id/server/rest/services/inarisk/INDEKS_BAHAYA_KARHUTLA/ImageServer,A,,,,pending,,,requires_external_acquisition,"Nilai/kelas belum diperoleh; external extraction required, paket eksternal belum tersedia. Metadata service terbaca, tetapi identify ditolak web tool (non-retryable); tahun data belum tersedia. REQ-HAZ-01.","metric_type=hazard adalah target permintaan, bukan bukti nilai sudah diperoleh. Prioritaskan bahaya; risk hanya fallback terdokumentasi pada observasi terpisah. Kelas disimpan apa adanya; bukan IRBI/hotspot harian. Koordinat resmi Dinkes 2021; point-in-polygon pending.",requested_layer,2026-09-14
HAZ-016,HLT-001,PUSKESMAS PADANG TIKAR,-0.68395,109.27088,kekeringan,hazard,,,,InaRISK / BNPB,https://gis.bnpb.go.id/server/rest/services/inarisk/INDEKS_BAHAYA_KEKERINGAN/ImageServer,A,,,,pending,,,requires_external_acquisition,"Nilai/kelas belum diperoleh; external extraction required, paket eksternal belum tersedia. Metadata service terbaca, tetapi identify ditolak web tool (non-retryable); tahun data belum tersedia. REQ-HAZ-01.","metric_type=hazard adalah target permintaan, bukan bukti nilai sudah diperoleh. Prioritaskan bahaya; risk hanya fallback terdokumentasi pada observasi terpisah. Kelas disimpan apa adanya; bukan IRBI/hotspot harian. Koordinat resmi Dinkes 2021; point-in-polygon pending.",requested_layer,2026-09-14
HAZ-017,HLT-002,PUSKESMAS SUNGAI KERAWANG,-0.84319384,109.7554378,karhutla,hazard,,,,InaRISK / BNPB,https://gis.bnpb.go.id/server/rest/services/inarisk/INDEKS_BAHAYA_KARHUTLA/ImageServer,A,,,,pending,,,requires_external_acquisition,"Nilai/kelas belum diperoleh; external extraction required, paket eksternal belum tersedia. Metadata service terbaca, tetapi identify ditolak web tool (non-retryable); tahun data belum tersedia. REQ-HAZ-01.","metric_type=hazard adalah target permintaan, bukan bukti nilai sudah diperoleh. Prioritaskan bahaya; risk hanya fallback terdokumentasi pada observasi terpisah. Kelas disimpan apa adanya; bukan IRBI/hotspot harian. Koordinat resmi Dinkes 2021; point-in-polygon pending.",requested_layer,2026-09-14
HAZ-018,HLT-002,PUSKESMAS SUNGAI KERAWANG,-0.84319384,109.7554378,kekeringan,hazard,,,,InaRISK / BNPB,https://gis.bnpb.go.id/server/rest/services/inarisk/INDEKS_BAHAYA_KEKERINGAN/ImageServer,A,,,,pending,,,requires_external_acquisition,"Nilai/kelas belum diperoleh; external extraction required, paket eksternal belum tersedia. Metadata service terbaca, tetapi identify ditolak web tool (non-retryable); tahun data belum tersedia. REQ-HAZ-01.","metric_type=hazard adalah target permintaan, bukan bukti nilai sudah diperoleh. Prioritaskan bahaya; risk hanya fallback terdokumentasi pada observasi terpisah. Kelas disimpan apa adanya; bukan IRBI/hotspot harian. Koordinat resmi Dinkes 2021; point-in-polygon pending.",requested_layer,2026-09-14
HAZ-019,HLT-003,PUSKESMAS KUBU,-0.50136262,109.3756266,karhutla,hazard,,,,InaRISK / BNPB,https://gis.bnpb.go.id/server/rest/services/inarisk/INDEKS_BAHAYA_KARHUTLA/ImageServer,A,,,,pending,,,requires_external_acquisition,"Nilai/kelas belum diperoleh; external extraction required, paket eksternal belum tersedia. Metadata service terbaca, tetapi identify ditolak web tool (non-retryable); tahun data belum tersedia. REQ-HAZ-01.","metric_type=hazard adalah target permintaan, bukan bukti nilai sudah diperoleh. Prioritaskan bahaya; risk hanya fallback terdokumentasi pada observasi terpisah. Kelas disimpan apa adanya; bukan IRBI/hotspot harian. Koordinat resmi Dinkes 2021; point-in-polygon pending.",requested_layer,2026-09-14
HAZ-020,HLT-003,PUSKESMAS KUBU,-0.50136262,109.3756266,kekeringan,hazard,,,,InaRISK / BNPB,https://gis.bnpb.go.id/server/rest/services/inarisk/INDEKS_BAHAYA_KEKERINGAN/ImageServer,A,,,,pending,,,requires_external_acquisition,"Nilai/kelas belum diperoleh; external extraction required, paket eksternal belum tersedia. Metadata service terbaca, tetapi identify ditolak web tool (non-retryable); tahun data belum tersedia. REQ-HAZ-01.","metric_type=hazard adalah target permintaan, bukan bukti nilai sudah diperoleh. Prioritaskan bahaya; risk hanya fallback terdokumentasi pada observasi terpisah. Kelas disimpan apa adanya; bukan IRBI/hotspot harian. Koordinat resmi Dinkes 2021; point-in-polygon pending.",requested_layer,2026-09-14
